BusinessEntityID,NationalIDNumber,OrganizationLevel,JobTitle,BirthDate,Gender,HireDate
138,25011600,4,Production Technician - WC20,22/11/1987,F,04/02/2009
139,113393530,4,Production Technician - WC20,23/10/1971,M,06/01/2010
140,339233463,4,Production Technician - WC20,30/04/1953,M,22/01/2010
141,872923042,4,Production Technician - WC20,10/09/1974,M,24/01/2010
142,163347032,4,Production Technician - WC20,04/04/1970,F,04/03/2010
143,56772045,4,Production Technician - WC20,05/09/1971,M,13/02/2010
144,886023130,4,Production Technician - WC20,04/11/1990,M,17/01/2009
145,386315192,3,Production Supervisor - WC30,18/08/1981,F,27/01/2009
146,160739235,4,Production Technician - WC30,25/06/1989,M,07/12/2008
147,604664374,4,Production Technician - WC30,05/11/1975,F,26/12/2008
148,733022683,4,Production Technician - WC30,07/12/1988,M,14/01/2009
149,764853868,4,Production Technician - WC30,20/10/1983,M,31/01/2009
150,878395493,4,Production Technician - WC30,18/09/1982,M,26/02/2009
151,993310268,4,Production Technician - WC30,13/09/1977,M,19/02/2009
152,319472946,3,Production Supervisor - WC20,06/04/1977,M,01/02/2009
153,568596888,4,Production Technician - WC20,16/10/1974,M,16/12/2008
154,97728960,4,Production Technician - WC20,02/03/1967,M,23/12/2008
155,212801092,4,Production Technician - WC20,15/02/1989,M,04/01/2009
156,322160340,4,Production Technician - WC20,23/09/1974,M,11/01/2009
157,812797414,4,Production Technician - WC20,05/10/1977,F,03/02/2009
158,300946911,4,Production Technician - WC20,08/12/1986,F,07/03/2009
159,404159499,4,Production Technician - WC20,08/12/1984,M,16/02/2009
160,712885347,3,Production Supervisor - WC45,15/01/1977,M,21/01/2009
161,275962311,4,Production Technician - WC45,06/02/1985,M,15/12/2008
162,514829225,4,Production Technician - WC45,25/12/1980,F,03/01/2009
163,377784364,4,Production Technician - WC45,13/04/1990,M,08/02/2009
164,65848458,4,Production Technician - WC45,24/09/1988,M,06/03/2009
165,539490372,4,Production Technician - WC45,16/12/1988,M,22/01/2009
166,60114406,3,Production Supervisor - WC30,22/06/1983,M,21/02/2009
167,498138869,4,Production Technician - WC30,02/11/1979,M,02/12/2008
168,271438431,4,Production Technician - WC30,25/08/1984,M,07/12/2008
169,351069889,4,Production Technician - WC30,02/04/1983,F,14/12/2008
170,476115505,4,Production Technician - WC30,16/04/1977,M,21/12/2008
171,746373306,4,Production Technician - WC30,03/08/1981,M,02/01/2009
172,364818297,4,Production Technician - WC30,24/10/1986,M,16/01/2009
173,87268837,4,Production Technician - WC30,15/07/1987,M,21/01/2009
174,585408256,4,Production Technician - WC30,05/01/1986,M,27/01/2009
175,259388196,4,Production Technician - WC30,08/01/1989,M,02/02/2009
176,860123571,4,Production Technician - WC30,23/09/1985,M,14/02/2009
177,551346974,4,Production Technician - WC30,11/02/1982,M,21/02/2009
178,568626529,4,Production Technician - WC30,24/03/1982,M,03/03/2009
179,587567941,4,Production Technician - WC30,15/11/1974,M,05/03/2009
180,862951447,3,Production Supervisor - WC20,18/11/1984,F,20/02/2009
181,545337468,4,Production Technician - WC20,17/11/1984,M,09/12/2008
182,368920189,4,Production Technician - WC20,01/12/1986,M,28/12/2008
183,969985265,4,Production Technician - WC20,02/07/1979,F,22/01/2009
184,305522471,4,Production Technician - WC20,05/04/1986,M,09/02/2009
185,621932914,4,Production Technician - WC20,21/12/1975,M,28/02/2009
186,551834634,3,Production Supervisor - WC45,24/05/1990,M,08/02/2009
187,713403643,4,Production Technician - WC45,15/04/1989,F,09/12/2008
188,435234965,4,Production Technician - WC45,24/11/1985,M,27/12/2008
189,187369436,4,Production Technician - WC45,24/07/1972,F,15/01/2009
190,456839592,4,Production Technician - WC45,28/02/1985,M,02/02/2009
191,399658727,4,Production Technician - WC45,14/03/1988,M,26/02/2009
192,634335025,3,Production Supervisor - WC40,28/02/1983,F,05/03/2009
193,761597760,4,Production Technician - WC40,05/12/1988,M,06/12/2008
194,295971920,4,Production Technician - WC40,25/06/1989,M,12/12/2008
195,918737118,4,Production Technician - WC40,25/12/1985,M,17/12/2008
196,370487086,4,Production Technician - WC40,04/10/1980,M,24/12/2008
197,632092621,4,Production Technician - WC40,04/10/1977,M,31/12/2008
198,19312190,4,Production Technician - WC40,26/11/1988,F,04/01/2009
199,992874797,4,Production Technician - WC40,10/02/1987,F,12/01/2009
200,749211824,4,Production Technician - WC40,06/09/1987,M,17/01/2009
201,746201340,4,Production Technician - WC40,10/02/1977,M,29/01/2009
202,436757988,4,Production Technician - WC40,10/11/1989,M,05/02/2009
203,693168613,4,Production Technician - WC40,28/05/1981,M,24/02/2009
204,440379437,4,Production Technician - WC40,10/05/1988,M,08/03/2009
205,332349500,3,Production Supervisor - WC45,18/07/1980,F,26/02/2009
206,835460180,4,Production Technician - WC45,13/09/1962,M,02/12/2008
207,687685941,4,Production Technician - WC45,18/10/1970,M,02/12/2008
208,199546871,4,Production Technician - WC45,10/02/1987,M,08/01/2009
209,167554340,4,Production Technician - WC45,01/11/1990,F,27/01/2009
210,20244403,4,Production Technician - WC45,17/09/1969,F,20/02/2009
211,398223854,2,Quality Assurance Manager,26/10/1977,M,28/02/2009
212,885055826,3,Quality Assurance Supervisor,18/03/1976,M,09/12/2008
213,343861179,4,Quality Assurance Technician,05/12/1966,M,23/02/2010
214,131471224,4,Quality Assurance Technician,28/03/1989,M,02/02/2009
215,381772114,4,Quality Assurance Technician,30/04/1986,M,15/01/2009
216,403414852,4,Quality Assurance Technician,06/03/1976,M,28/12/2008
217,345106466,3,Document Control Manager,30/01/1976,M,04/01/2009
218,540688287,4,Control Specialist,28/04/1990,M,16/12/2008
219,242381745,4,Document Control Assistant,12/03/1987,M,22/01/2009
220,260770918,4,Document Control Assistant,25/12/1975,F,09/02/2009
221,260805477,4,Control Specialist,26/05/1987,M,06/03/2009
222,685233686,2,Master Scheduler,17/09/1968,M,12/12/2008
223,981495526,3,Scheduling Assistant,22/12/1987,M,26/01/2009
224,621209647,3,Scheduling Assistant,06/11/1981,M,07/01/2009
225,470689086,3,Scheduling Assistant,29/03/1984,M,13/02/2009
226,368691270,3,Scheduling Assistant,11/08/1984,M,03/03/2009
227,141165819,2,Facilities Manager,18/02/1971,M,02/12/2009
228,553069203,3,Maintenance Supervisor,18/01/1976,M,14/12/2008
229,879334904,4,Janitor,31/07/1970,F,16/02/2010
230,28414965,4,Janitor,17/12/1971,M,05/03/2010
231,153479919,4,Janitor,24/04/1954,F,07/03/2010
232,646304055,4,Janitor,03/12/1970,M,27/01/2010
233,552560652,3,Facilities Administrative Assistant,27/08/1971,M,21/12/2009
234,184188301,1,Chief Financial Officer,06/01/1976,F,31/01/2009
235,535145551,2,Human Resources Manager,11/02/1976,F,06/12/2008
236,476980013,3,Human Resources Administrative Assistant,16/04/1976,M,25/02/2009
237,416679555,3,Human Resources Administrative Assistant,17/04/1977,M,06/02/2009
238,264306399,3,Recruiter,01/08/1984,M,01/01/2009
239,619308550,3,Benefits Specialist,20/11/1984,F,25/12/2008
240,332040978,3,Recruiter,18/07/1978,M,13/12/2008
241,30845,2,Accounts Manager,08/07/1983,M,30/01/2009
242,363923697,3,Accounts Receivable Specialist,06/03/1976,F,18/12/2008
243,60517918,3,Accounts Receivable Specialist,23/02/1976,F,06/01/2009
244,931190412,3,Accounts Receivable Specialist,20/09/1984,M,24/01/2009
245,363910111,3,Accountant,04/01/1976,F,18/02/2009
246,663843431,3,Accounts Payable Specialist,14/02/1977,M,11/02/2009
247,519756660,3,Accounts Payable Specialist,09/03/1979,F,01/03/2009
248,480951955,3,Accountant,01/07/1979,M,08/03/2009
249,121491555,2,Finance Manager,11/10/1984,F,25/12/2008
250,895209680,3,Purchasing Manager,10/02/1978,F,25/02/2011
251,603686790,4,Buyer,17/08/1984,M,10/02/2009
252,792847334,4,Buyer,21/08/1974,M,28/02/2009
253,407505660,4,Buyer,30/11/1970,F,17/12/2009
254,482810518,4,Buyer,24/11/1970,M,04/01/2010
255,466142721,4,Buyer,29/11/1966,M,11/01/2010
256,367453993,4,Buyer,12/05/1952,M,23/01/2010
257,381073001,4,Buyer,17/09/1972,M,27/01/2010
258,785853949,4,Buyer,04/01/1971,F,31/01/2010
259,20269531,4,Buyer,03/06/1973,M,09/03/2010
260,437296311,4,Purchasing Assistant,29/01/1978,F,06/12/2010
261,280633567,4,Purchasing Assistant,17/01/1978,M,25/12/2010
262,231203233,2,Assistant to the Chief Financial Officer,21/06/1964,M,12/01/2009
263,441044382,1,Information Services Manager,13/12/1975,F,11/12/2008
264,858323870,2,Network Manager,25/03/1984,F,04/02/2009
265,749389530,3,Network Administrator,27/03/1977,M,04/12/2008
266,672243793,3,Network Administrator,28/05/1980,M,23/02/2009
267,58317344,2,Application Specialist,19/05/1978,F,16/02/2009
268,314747499,2,Application Specialist,13/03/1988,M,03/02/2009
269,671089628,2,Application Specialist,26/05/1987,M,11/01/2009
270,643805155,2,Database Administrator,17/05/1975,M,17/01/2009
271,929666391,2,Database Administrator,06/01/1976,M,22/01/2009
272,525932996,2,Application Specialist,30/01/1985,F,23/12/2008
273,112432117,1,Vice President of Sales,06/06/1977,M,15/02/2011
274,502097814,2,North American Sales Manager,17/10/1951,M,04/01/2011
275,841560125,3,Sales Representative,25/12/1968,M,31/05/2011
276,191644724,3,Sales Representative,27/02/1980,F,31/05/2011
277,615389812,3,Sales Representative,29/08/1962,F,31/05/2011
278,234474252,3,Sales Representative,04/02/1975,M,31/05/2011
279,716374314,3,Sales Representative,18/01/1974,M,31/05/2011
280,61161660,3,Sales Representative,06/12/1974,F,31/05/2011
281,139397894,3,Sales Representative,09/03/1968,M,31/05/2011
282,399771412,3,Sales Representative,11/12/1963,M,31/05/2011
283,987554265,3,Sales Representative,11/02/1974,M,31/05/2011
284,90836195,3,Sales Representative,05/01/1978,M,30/09/2012
285,481044938,2,Pacific Sales Manager,11/01/1975,M,14/03/2013
286,758596752,3,Sales Representative,14/02/1977,F,30/05/2013
287,982310417,2,European Sales Manager,20/09/1957,F,16/04/2012
288,954276278,3,Sales Representative,09/07/1975,F,30/05/2013
289,668991357,3,Sales Representative,17/03/1968,F,30/05/2012
290,134219713,3,Sales Representative,30/09/1975,M,30/05/2012
